,Dieu,bien,point,choses,Monsieur,grâce,beaucoup,monde,espérance,fin,1543,194,bon,surmonter,chemin,Satan,êtes,tentations,devons
freq,9.0,8.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
vector_n,46.918212890625,34.90989685058594,34.187889099121094,36.33110046386719,21.132984161376953,31.829301834106445,23.706045150756836,33.77875518798828,21.753686904907227,51.51615524291992,24.9024715423584,22.825376510620117,48.38394546508789,23.04754066467285,30.063583374023438,24.667226791381836,49.850093841552734,29.054981231689453,33.60689163208008
